Land	Kanton	Typ	Name	Webseite	Beschreibung	Telegram	Video	Adresse
Deutschland		Organisation	Corona-Ausschuss	https://2020tube.de/	Video-Portal vom Corona-Ausschuss. Hier finden Sie die kompletten Ausschuss-Sitzungen, kurze Zusammenfassungen auf deutsch und englisch, nach Themen und Gesprächspartnern extrahierte Sitzungsausschnitte sowie ausgewählte Interviews.			
Schweiz	BS	Person	Marco Caimi	https://marcocaimi.ch/	Caimi Reports			
Deutschland		Person	Boris Reitschuster	https://reitschuster.de	Kritischer Journalismus. Ohne 'Haltung'. Ohne Belehrung. Ohne Ideologie. Ein Blog, der seine Leser informieren will und nicht erziehen.			
Schweiz		Freie Presse	Corona-Transition	https://corona-transition.org	Corona Transition fördert die qualifizierte Meinungsbildung und trägt zur konstruktiven Weiterentwicklung des Rechtsstaats, des kulturellen Lebens sowie der Real- und Finanz-Wirtschaft bei.			
Schweiz		Organisation	Subkon		subversiv konstruktiv		youtube|https://www.youtube.com/c/subversivkonstruktiv	
Schweiz		Freie Presse	Zeitpunkt	https://www.zeitpunkt.ch				
Schweiz		Freie Presse	uncutnews.ch	https://www.uncutnews.ch				
Schweiz		Freie Presse	kla.tv	https://www.kla.tv				
Schweiz		Person	stricker TV	Web Locals		Telegram	youtube	
Schweiz		Person	Bittel TV	x		Telegram	youtube	
Schweiz	NW,OW,UR,SZ	Organisation	Aktionsbündnis Urkantone	https://www.ur-kantone.ch				
Schweiz		Freie Presse	Rubikon	https://www.rubikon.news				
Schweiz		Person	Vibes		Monika???			
Deutschland		Person	Reiner Fuellmich			Telegram		
Schweiz		Organisation	Wir Für Euch	https://wirfuereuch.ch/	Vereinigung von Polizisten			
Schweiz		Organisation	angst-frei	https://www.angst-frei.ch/	Übersicht und Aggregation von kritischen Stimmen zum aktuellen Covid19-Geschehen.			
Deutschland		Organisation		https://querdenken-711.de/digitaler-aktivist				
Deutschland		Organisation		https://qs24.tv/live-tv				
Deutschland		Person	Pracher-Hilander 	https://auf1.tv/aufrecht-auf1/psychologin-pracher-hilander-halten-wir-uns-vor-augen-dass-wir-helden-sind/	AUF1.TV - Psychologin Pracher-Hilander: Halten wir uns vor Augen, dass wir Helden sind!			
Schweiz		Organisation		https://covid-impfnebenwirkungen.ch/	Covid-Impfnebenwirkungen - Kooperation mit Aethea			
			Polizei für die Freiheit	https://policeforfreedom.org/				
Deutschland			Ärzte für Aufklärung	https://www.aerztefueraufklaerung.de				
World			World Freedom Alliance	https://worldfreedomalliance.org/				
			covid vaccine injuries			Telegram		
			Wächter der Erde			Telegram		
			Hapiness is the way			Telegram		
			impfschäden Schweiz			Telegram		
			Stilles Stehen KirchbergBE			Telegram		
			Wissen ist Macht offiziell			Telegram		
			LK News für ein Leben in Freiheit			Telegram		
			Union Souveräne Schweiz			Telegram		
			Suche oder biete Arbeit			Telegram		
			AlleMeschensindwillkommen			Telegram		
			Ken Jebsen			Telegram		
			apolut			Telegram		
Schweiz		Person	Alex Brunner	https://politik.brunner-architekt.ch/	Eine politische Homepage			a,b,c,d
