name,job,position
"Cees 't Hart","Chief Executive Officer, Carlsberg Group, Denmark","Level 1 Top Executive"
"Khalid Abdulla-Janahi","Chairman, Vision 3, United Arab Emirates","Level 1 Top Executive"
"Rovnag Abdullayev","President, SOCAR (State Oil Company of the Azerbaijan Republic), Azerbaijan","Level 1 Top Executive"
"Basima Abdulrahman","Founder and Chief Executive Officer, KESK Green Building Consulting, Iraq","Level 1 Top Executive"
"David Abney","Chairman and Chief Executive Officer, UPS, USA","Level 1 Top Executive"
"Darius Adamczyk","Chairman and Chief Executive Officer, Honeywell, USA","Level 1 Top Executive"
"Gregory Adams","Chairman and Chief Executive Officer, Kaiser Permanente, USA","Level 1 Top Executive"
"Timothy Adams","President and Chief Executive Officer, Institute of International Finance (IIF), USA","Level 1 Top Executive"
"Gautam Adani","Chairman, Adani Group, India","Level 1 Top Executive"
"Jill Ader","Chairwoman, Egon Zehnder, United Kingdom","Level 1 Top Executive"
"Daniel S. Aegerter","Chairman, Armada Investment Group, Switzerland","Level 1 Top Executive"
"Adeeb Ahamed","Managing Director, Lulu Financial Group, United Arab Emirates","Level 1 Top Executive"
"Sanjiv Ahuja","Chairman and Chief Executive Officer, Tillman Global Holdings, USA","Level 1 Top Executive"
"Khadim Al Darei","Vice-Chairman and Co-Founder, Al Dahra Holding, United Arab Emirates","Level 1 Top Executive"
"Omar A. Al Futtaim","Vice-Chairman and Chief Executive Officer, Al Futtaim Trading Group, United Arab Emirates","Level 1 Top Executive"
"Abdulla Al Khalifa","Chief Executive Officer, Qatar National Bank, Qatar","Level 1 Top Executive"
"H.H. Sheikh Salman Al Khalifa","Honorary Chairman, Bahrain Petroleum, Bahrain","Level 1 Top Executive"
"Amr Al Madani","Chief Executive Officer, Al-Ula, Saudi Arabia","Level 1 Top Executive"
"Mansoor Bin Ebrahim Al Mahmoud","Chief Executive Officer, Qatar Investment Authority, Qatar","Level 1 Top Executive"
"Talal Al Maiman","Chief Executive Officer, Kingdom Holding, Saudi Arabia","Level 1 Top Executive"
"Khaldoon Al Mubarak","Chief Executive Officer and Managing Director, Mubadala, United Arab Emirates","Level 1 Top Executive"
"Mohammed Al Naki","Chairman, Kuwait Industries Co. Holding, Kuwait","Level 1 Top Executive"
"Nasser Al Nasser","Group Chief Executive Officer, Saudi Telecom Company Group, Saudi Arabia","Level 1 Top Executive"
"Hussain J. Al Nowais","Chairman, Al Nowais Investments, United Arab Emirates","Level 1 Top Executive"
"Ibrahim Al Omar","Governor, Saudi Arabian General Investment Authority (SAGIA), Saudi Arabia","Level 1 Top Executive"
"Khaled A. Al Qahtani","Vice-Chairman and Chief Executive Officer, Al Qahtani Group, Saudi Arabia","Level 1 Top Executive"
"Hesham Al Qassim","Vice-Chairman, Emirates NBD, United Arab Emirates","Level 1 Top Executive"
"Yasir Al Rumayyan","Chairman Of Saudi Aramco, Saudi Aramco, Saudi Arabia","Level 1 Top Executive"
"Tareq Al Sadhan","Chief Executive Officer, Riyad Bank, Saudi Arabia","Level 1 Top Executive"
"Marwan J. Al Sarkal","Executive Chairman, Sharjah Investment and Development Authority - Shurooq, United Arab Emirates","Level 1 Top Executive"
"Yousef Al-Benyan","Vice-Chairman and Chief Executive Officer, Saudi Basic Industries (SABIC), Saudi Arabia","Level 1 Top Executive"
"Abdulaziz Al-Helaissi","Group Chief Executive Officer, Gulf International Bank (GIB), Bahrain","Level 1 Top Executive"
"Saeed Al-Tayer","Managing Director and Chief Executive Officer, Dubai Electricity and Water Authority, United Arab Emirates","Level 1 Top Executive"
"Ibrahim AlMojel","Chief Executive Officer, Saudi Industrial Development Fund, Saudi Arabia","Level 1 Top Executive"
"Khalid M. AlZubair","Chairman, OMINVEST, Oman","Level 1 Top Executive"
"Sami Alangari","Vice-Chairman and Chief Executive Officer, AlGihaz, Saudi Arabia","Level 1 Top Executive"
"Laura Alber","Chief Executive Officer, Williams-Sonoma, USA","Level 1 Top Executive"
"Vagit Y. Alekperov","President and Chief Executive Officer, LUKOIL, Russian Federation","Level 1 Top Executive"
"Nerio Alessandri","Founder and Chairman, Technogym, Italy","Level 1 Top Executive"
"Omar K. Alghanim","Group Chief Executive Officer, Alghanim Industries, Kuwait","Level 1 Top Executive"
"Mohammed F. Alghanim","Vice-Chairman and Chief Executive Officer, Fouad Alghanim & Sons Group of Companies, Kuwait","Level 1 Top Executive"
"Yusuff Ali","Chairman and Managing Director, Lulu Group International, United Arab Emirates","Level 1 Top Executive"
"Aamer A. Alireza","Managing Director, Services Group; Director, Xenel Group, Saudi Arabia","Level 1 Top Executive"
"Hamza B. Alkholi","Chairman and Chief Executive Officer, Hamza Alkholi Group, Saudi Arabia","Level 1 Top Executive"
"Jeremy Allaire","Founder and Chief Executive Officer, Circle, USA","Level 1 Top Executive"
"Patrick Allman-Ward","Chief Executive Officer, Dana Gas, United Arab Emirates","Level 1 Top Executive"
"Meshal Alothman","Director-General, Public Institution for Social Security (PIFSS), Kuwait","Level 1 Top Executive"
"Cenk Alper","Chief Executive Officer, Sabanci Holding, Turkey","Level 1 Top Executive"
"Mohammed Alshaya","Executive Chairman, Alshaya Group, Kuwait","Level 1 Top Executive"
"Marco Alverà","Chief Executive Officer, Snam, Italy","Level 1 Top Executive"
"Philippe Amon","Chairman and Chief Executive Officer, SICPA Holding, Switzerland","Level 1 Top Executive"
"Cristiano Amon","President, Qualcomm, USA","Level 1 Top Executive"
"Henrik Andersen","Chief Executive Officer, Vestas, Denmark","Level 1 Top Executive"
"Eric Anderson","Chairman, Planetary Holdings, USA","Level 1 Top Executive"
"Johan H. Andresen","Chairman, Ferd, Norway","Level 1 Top Executive"
"John Angelicoussis","Chairman and Chief Executive Officer, Angelicoussis Group, Greece","Level 1 Top Executive"
"Husodo Angkosubroto","Chairman, Gunung Sewu Kencana, Indonesia","Level 1 Top Executive"
"Frank Appel","Chief Executive Officer, Deutsche Post DHL, Germany","Level 1 Top Executive"
"Kezevino Aram","Director, Shanti Ashram, India","Level 1 Top Executive"
"Jean-Stéphane Arcis","Chief Executive Officer, TalentSoft, France","Level 1 Top Executive"
"Carlos Julio Ardila","Chief Executive Officer, Ardila Lulle, Colombia","Level 1 Top Executive"
"Nikesh Arora","Chief Executive Officer and Chairman, Palo Alto Networks, USA","Level 1 Top Executive"
"Tewodros Ashenafi","Chairman and Chief Executive Officer, Southwest Holdings, Ethiopia","Level 1 Top Executive"
"Isabelle Axelsson","Climate and Environmental Activist, FridaysForFuture, Sweden","Level 1 Top Executive"
"Claudia Azevedo","Chief Executive Officer, Sonae, Portugal","Level 1 Top Executive"
